Drug_Name,Reason,Description,mildness
AFDIEX 5mg Tablet 10'sAFDIEX 2.5mg Tablet 10's,Diabetes,reduces the diabetes,moderate
Afoglip 20mg Tablet 10'S,Diabetes,reduces sugar level diabetes,moderate
Afoglip M 500mg/20mg Tablet 10'SAfoglip M 1000mg/20mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",moderate
Agivog 0.2mg Tablet 10'SAgivog 0.3mg Tablet 10'S,Diabetes,reduces the diabetes,moderate
Agivog M 0.2mg Tablet 10'SAgivog M 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,moderate
Aim7 30 XR Tablet 15'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",moderate
Aim7 60 XR Tablet 15'S,Diabetes,reduces the diabetes,moderate
Ajaduo 10mg Tablet 10'SAjaduo 25mg Tablet 10'S,Diabetes,reduces sugar level diabetes,moderate
Alfabose 0.2mg Tablet 10'SAlfabose 0.3mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",moderate
Allstar Reusable Insulin Pen(Device),Diabetes,reduces the diabetes,moderate
Allstar Reusable(Teal Col) Device 1'S,Diabetes,reduces sugar level diabetes,moderate
Almetfor 500mg Tablet 20'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",moderate
Alphavog 0.2mg Tablet 10'SAlphavog 0.3mg Tablet 10'S,Diabetes,reduces the diabetes,moderate
Alphavog M 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,moderate
Amaryl 2mg Tablet 30'SAmaryl MV 2mg Tablet 10'SAmaryl 1mg Tablet 30'SAmaryl 4mg Tablet 30'SAmaryl MP 1mg Tablet 10'SAmaryl 3mg Tablet 30'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",moderate
Amaryl M 1/500mg Tablet 10'SAmaryl M 1mg Tablet 15'SAmaryl M 2/500mg Tablet 10'SAmaryl M 2mg Tablet 15'S,Diabetes,reduces the diabetes,moderate
Amaryl M Forte 2mg Tablet 10'SAmaryl M Forte 2mg Tablet 15'SAmaryl M Forte 1mg Tablet 15'SAmaryl M Forte 1mg Tablet 10'S,Diabetes,reduces sugar level diabetes,moderate
Amaryl MP 2mg Tablet 10'SAmaryl MP 1/500/15mg Tablet 15'SAmaryl MP 2mg Tablet 15'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",moderate
Amaryl MV 1mg Tablet 15'SAmaryl MV 2mg Tablet 15'SAmaryl MV 0.2/500/2mg Tablet 10'SAmaryl MV 0.2/500/1mg Tablet 10'S,Diabetes,reduces the diabetes,moderate
Amaryl P 2mg Tablet 10'SAmaryl P 1mg Tablet 10'S,Diabetes,reduces sugar level diabetes,moderate
Ameto 500mg Tablet 10'SAmeto 1000mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",moderate
Ameto G 2mg Tablet 10'SAmeto G 3mg/500mg Tablet 10'SAmeto G 4mg/500mg Tablet 10'SAmeto G 1mg/1000mg Tablet 10'S,Diabetes,reduces the diabetes,moderate
Anclazide M Tablet 10'S,Diabetes,reduces sugar level diabetes,moderate
ANGIOGLIM M1 Tablet 10's,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",moderate
ANGIOGLIM M2 Tablet 10's,Diabetes,reduces the diabetes,moderate
Apidra 100IU Cartridge 1X3mlApidra Solostar 100IU Pen(Dispo) 1X3mlApidra 100IU Injection 1X10ml,Diabetes,reduces sugar level diabetes,moderate
Aplevant 0.75Mg Injection 0.5ml,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",moderate
Apribose 0.3mg Tablet 10'S,Diabetes,reduces the diabetes,moderate
Apriglim 4mg Tablet 10'S,Diabetes,reduces sugar level diabetes,moderate
APRIGLIM MV 1 Tablet 10's,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",moderate
APRIGLIM MV 103 Tablet 10's,Diabetes,reduces the diabetes,moderate
APRIGLIM MV 2 Tablet 10's,Diabetes,reduces sugar level diabetes,moderate
APRIGLIM MV 203 Tablet 10's,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",moderate
APRIGLIM MV 303 Tablet 10's,Diabetes,reduces the diabetes,moderate
Arkamet Ipr 850mg Tablet 10'S,Diabetes,reduces sugar level diabetes,moderate
ARPIE 15mg Tablet 10's,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",moderate
Astromet G 2Mg Tablet 10'sAstromet G 0.5Mg Tablet 10's,Diabetes,reduces the diabetes,moderate
ASTROMET G1 Tablet 10's,Diabetes,reduces sugar level diabetes,moderate
Asugar Sr Tablet 10's,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",moderate
Athgim M 1mg/500mg Tablet 10'SAthgim M 2mg/500mg Tablet 10'S,Diabetes,reduces the diabetes,moderate
Avibose 0.2mg Tablet 10'SAvibose 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,moderate
Avibose MF 0.3mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",moderate
Avibose SF 0.2mg Tablet 10'S,Diabetes,reduces the diabetes,moderate
Aviglen 5mg Tablet 10'S,Diabetes,reduces sugar level diabetes,moderate
Aviglen Forte Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",moderate
Aviglen MF Tablet 10'S,Diabetes,reduces the diabetes,moderate
Aviglic 80mg Tablet 10'S,Diabetes,reduces sugar level diabetes,moderate
Aviglic MF Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",moderate
Aviglip 5mg Tablet 10'S,Diabetes,reduces the diabetes,moderate
AXEGLIPTIN M 1000mg Tablet 10's,Diabetes,reduces sugar level diabetes,moderate
Tiniba N Tablet 10'S,Diarrhoea,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,moderate
TININOR SF Tablet 10's,Diarrhoea,"Â diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",moderate
TROPAMIDE 2mg Tablet 10's,Diarrhoea, reduces diarrhoea,moderate
Trotz 10mg Powder 1.5gm,Diarrhoea,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,moderate
Tufpro Suspension 10X5ml,Diarrhoea,"Â diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",moderate
UTIVAX Capsule 10's,Diarrhoea, reduces diarrhoea,moderate
Vebiotic Capsule 10'S,Diarrhoea,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,moderate
Velgut D Sachet 1gmVelgut Capsule 10'S,Diarrhoea,"Â diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",moderate
Vibact Capsule 10'SVibact 0.5gm PowderVibact Dry Syrup 50ml,Diarrhoea, reduces diarrhoea,moderate
Vibact DS Capsule 10'S,Diarrhoea,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,moderate
Vitagut Capsule 10'S,Diarrhoea,"Â diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",moderate
Vitagut Forte Capsule 10'S,Diarrhoea, reduces diarrhoea,moderate
Vizylac Dry Syrup 60mlVizylac Capsule 15'S,Diarrhoea, reduces diarrhoea,moderate
Vizylac DT Tablet 10'S,Diarrhoea,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,moderate
Vizylac Rich Granules Sachet 8X1gm,Diarrhoea,"Â diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",moderate
VSL 3 Capsule 10'S,Diarrhoea, reduces diarrhoea,moderate
VSL 3 Lite Capsule 10'S,Diarrhoea,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,moderate
Vygene Solution 100ml,Diarrhoea,"Â diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",moderate
Walamycin Suspension 30ml,Diarrhoea, reduces diarrhoea,moderate
Wonderpro Banana Flavour 1gm Sachet,Diarrhoea,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,moderate
Yogut Capsule 10'S,Diarrhoea,"Â diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",moderate
Zedott DT 30mg Tablet 10'SZedott 10mg Powder Sachet 20X1gmZedott 100mg Capsule 10'SZedott Kid 30mg Sachet 3Gm,Diarrhoea, reduces diarrhoea,moderate
Zedott DT 10mg Tablet 10'S,Diarrhoea,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,moderate
Zedott Kid Powder Sachet 3X3Gm,Diarrhoea,"Â diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",moderate
Zeebon R Suspension 5ml,Diarrhoea, reduces diarrhoea,moderate
Zeegut P Powder 1gmZeegut Capsule 10'S,Diarrhoea,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,moderate
Zomatril 10mg Sachet 1gm,Diarrhoea,"Â diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",moderate
Zomatril DT 100mg Tablet 10'SZomatril DT 30mg Tablet 10'SZomatril DT 15mg Tablet 10'S,Diarrhoea, reduces diarrhoea,moderate
Agna 25000 Capsule 10'SAgna 10000 Capsule 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€.,moderate
Al5Zyme Effervescent Tablet 10'SAl5Zyme Capsule 10'SAl5zyme Liquid 100ml,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,moderate
Alictozyme Capsule 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Anglozyme Drops 15ml,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
Anzyme Capsule 10'SAnzyme Tablet 15'SAnzyme Syrup 200mlAnzyme Drops 15ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
APIGEST Oral Drops 15mlApigest Capsule 10'sApigest Syrup 200ml,Digestion,it provides extra digestive enzymes and improves digestion,moderate
Aristozyme Drops 15mlAristozyme Fizz Tablet 4'SAristozyme Liquid 200mlAristozyme Capsule 15'S,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.",moderate
Astozyme Syrup 200ml,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,moderate
Autolyse Ointment 15gm,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Autozyme Syrup 200ml,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
Baleno EZ Capsule 10'S,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
Bestozyme Paediatric Syrup 60mlBestozyme Syrup 200mlBestozyme Drops 15mlBestozyme Capsule 15'S,Digestion,it provides extra digestive enzymes and improves digestion,moderate
Carmicide Adult Syrup 100mlCarmicide EZ Syrup 200ml,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.",moderate
Carmicide Paed Liquid 100ml,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,moderate
Carmopeptin Syrup 100mlCarmopeptin Drops 15ml,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Carmozyme Syrup 450mlCarmozyme Drops 15mlCarmozyme Syrup 200ml,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
CATALYD Syrup 200mlCATALYD Drops 15ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
Colicaid EZ Drops 15ml,Digestion,it provides extra digestive enzymes and improves digestion,moderate
Creon 10000 Capsule 15'SCreon 10000 Capsule 10'S,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.",moderate
Creon 25000 Capsule 10'S,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,moderate
Creon 40000 Capsule 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
CREOPASE Capsule 10's,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
Debul Tablet 10'S,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
Digemax Tablet 10'S,Digestion,it provides extra digestive enzymes and improves digestion,moderate
Digeplex Drops 15mlDigeplex Liquid 200mlDigeplex Syrup 100ml,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.",moderate
Digeplex DS Syrup 100ml,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,moderate
DIGEPLEX READYMIX Syrup 200ml,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Digeplex T Tablet 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
Digesta Syrup 100mlDigesta Syrup 200ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
Digestal NM Capsule 10'S,Digestion,it provides extra digestive enzymes and improves digestion,moderate
Digestomen 25000mg Capsule 10'SDigestomen Syrup 200ml,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.",moderate
Digestomen P Capsule 10'S,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,moderate
Digipen Junior Syrup 60ml,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Dipep Suspension 150mlDipep Capsule 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
Econorm 250mg Capsule 4'SEconorm 250mg Capsule 10'S,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
Efizyme Syrup 200mlEfizyme Tablet 10'S,Digestion,"it isÂ used for digestive disorders, starch degrading enzyme, flatulence, distension and other conditions",moderate
Elzymax Syrup 200ml,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Encremin 300mg Capsule 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
Endos Capsule 10'S,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
Entroflora 250mg Sachet 765mg,Digestion,it provides extra digestive enzymes and improves digestion,moderate
Enuff Xtra Sachet 1gm,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.",moderate
Enzar Forte Tablet 15'SEnzar Syrup 150ml,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,moderate
Enzar 10000 Capsule 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Enzar 40000 Capsule 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
Enzar HS Capsule 10'S,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
Enzase 20mg Tablet 10'S,Digestion,it provides extra digestive enzymes and improves digestion,moderate
Enzase 25000 Tablet 10's,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.",moderate
Enzoblend Syrup 200ml,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,moderate
Enzoy Capsule 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Enzymer Liquid 200ml,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
Etazyme Tablet 15'SEtazyme Drops 15mlEtazyme Syrup 200ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
Farizyme Tablet 10'S,Digestion,"it isÂ used for digestive disorders, starch degrading enzyme, flatulence, distension and other conditions",moderate
Festal N Tablet 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Galto Plus Tablet 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
GAS O Fast Plus Tablet 2'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
Genozyme Syrup 100ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
Geridys Syrup 200mlGeridys Capsule 10'S,Digestion,it provides extra digestive enzymes and improves digestion,moderate
Gestive Liquid 150ml,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.",moderate
Gripe Water(Abbott) Liquid 150ml,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,moderate
Hizyme Drops 15ml,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Ibase L Syrup 200ml,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
KAYLIV Tablet 10's,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
Krease Tablet 10'S,Digestion,it provides extra digestive enzymes and improves digestion,moderate
Levanz 25mg Tablet 10'S,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.",moderate
Levanz OD 75mg Tablet 10'S,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,moderate
Levazeo 100mg Tablet 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Levogold 100mg Tablet 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
Lipcerna 25000mg Capsule 10'SLipcerna 10000mg Capsule 10'S,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
Livoerb Zyme Syrup 225ml,Digestion,"it isÂ used for digestive disorders, starch degrading enzyme, flatulence, distension and other conditions",moderate
Lupase 10000 Tablet 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Lupase 25000 Tablet 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
Lupizyme Syrup 200mlLupizyme Drops 15mlLupizyme Strawberry Syrup 200mlLupizyme Capsule 10'SLupizyme Elachi Syrup 200ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
Lupizyme Plus Mixed Fruit Syrup 200mlLupizyme Plus Mango Flavour Syrup 200mlLupizyme Plus Orange Syrup 200ml,Digestion,it provides extra digestive enzymes and improves digestion,moderate
Lupizyme Plus Pineapple Flavour Syrup 100ml,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.",moderate
Maxizym Syrup 200mlMaxizym Capsule 10'S,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,moderate
MEDIZYME Tablet 10's,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Merizyme Drops 15mlMerizyme Tablet 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
Meyerzyme Liquid 200ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
Multizyme (Alkem) 40/20mg Capsule 10'S,Digestion,it provides extra digestive enzymes and improves digestion,moderate
Neopeptine 100mg Capsule 10'SNeopeptine Drops 15mlNeopeptine Liquid 100mlNeopeptine Suspension 60ml,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.",moderate
NEW Aglozyme Capsule 15'S,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,moderate
Novazyme Syrup 200ml,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Nutrozyme Syrup 200ml,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
Overzyme Syrup 200mlOverzyme Syrup 100ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
Pancrehenz 25000 Capsule 10'SPancrehenz 10000 Capsule 10'S,Digestion,it provides extra digestive enzymes and improves digestion,moderate
Pankreoflat Tablet 10'SPankreoflat Tablet 15'SPankreoflat Liquid 100ml,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.",moderate
Panlipase Capsule 10'SPanlipase 25000IU Capsule 10'S,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,moderate
Panmate 25000mg Capsule 10'SPanmate 10000mg Capsule 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Panstal Capsule 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
Panzynorm HS Tablet 10'SPanzynorm N Tablet 10'S,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
Papytazyme Tablet 10'S,Digestion,"it isÂ used for digestive disorders, starch degrading enzyme, flatulence, distension and other conditions",moderate
Pepfiz Evt Tablet 2'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Phytocid GT Capsule 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
Progit 10mg Tablet 10'S,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
Q Next Capsule 10'S,Digestion,it provides extra digestive enzymes and improves digestion,moderate
Reboot Drops 15ml,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.",moderate
Safelax Powder 17.1gm,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,moderate
Serutan Tablet 10'SSerutan 215mg Tablet 30'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Seruzyme Syrup 200ml,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
Softolax SF Powder 100gm,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
SOFTOVAC Powder 250gm,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
Spaslin Pediatric Oral Drops 15ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
Swizyme Syrup 200ml,Digestion,it provides extra digestive enzymes and improves digestion,moderate
Tagon 2mg Tablet 10'S,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.",moderate
Tegod 6mg Tablet 10'S,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,moderate
Tummy Soft Dry Syrup 50ml,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Ultizyme Capsule 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
Ultrazyme Syrup 200ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
Unienzyme Drops 15mlUnienzyme Liquid 200mlUnienzyme Tablet 15'S,Digestion,it provides extra digestive enzymes and improves digestion,moderate
Unienzyme MPS Tablet 15'S,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.",moderate
Utipac Capsule 10'S,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,moderate
Vitazyme Drops 15mlVitazyme Liquid 200mlVitazyme Capsule 10'SVitazyme Syrup 60ml,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Winpert 25000IU Capsule 10'SWinpert 10000IU Capsule 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
Xymex Drops 30mlXymex Drops 15mlXymex Syrup 200ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion",moderate
Xymex MPS Tablet 10'S,Digestion,"it isÂ used for digestive disorders, starch degrading enzyme, flatulence, distension and other conditions",moderate
Zymnet Syrup 200ml,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,moderate
Zymopan Capsule 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions",moderate
1000 Para 1000mg Tablet 12'S,Fever,short-term treatment of fever,moderate
Aalcetamol 1000mg Infusion 100ml,Fever,short-term treatment of fever,moderate
ACETO 250mg Syrup 60ml,Fever,short-term treatment of fever,moderate
Agpar 125mg Suspension 450ml,Fever,short-term treatment of fever,moderate
ALGINA 500MG TABLET 10'S,Fever,short-term treatment of fever,moderate
AMIDOL Tablet 10's,Fever,short-term treatment of fever,moderate
Anaflam P Suspension 100ml,Fever,short-term treatment of fever,moderate
Anglopar 125mg Drops 15mlAnglopar 500mg Tablet 10'SAnglopar 125mg Syrup 60mlAnglopar 650mg Tablet 10'S,Fever,short-term treatment of fever,moderate
Babygesic 250mg Syrup 60mlBabygesic 125mg Syrup 60ml,Fever,short-term treatment of fever,moderate
Bestogesic Fast 650mg Tablet 10'S,Fever,short-term treatment of fever,moderate
Biocetamol 60mg Syrup 60mlBiocetamol 100mg Drops 10mlBiocetamol 150mg Injection 2ml,Fever,short-term treatment of fever,moderate
Biopyrin 650mg Tablet 15'S,Fever,short-term treatment of fever,moderate
Brikamol 250mg Syrup 60ml,Fever,short-term treatment of fever,moderate
Brucet 400/333mg Tablet 3'S,Fever,short-term treatment of fever,moderate
Cachpar 500mg Tablet 10'S,Fever,short-term treatment of fever,moderate
Calipar 250mg Syrup 60ml,Fever,short-term treatment of fever,moderate
Calpol 100mg Drops 15mlCalpol 650mg Tablet 10'SCalpol 500mg Tablet 500'SCalpol 500mg Tablet 10'S,Fever,short-term treatment of fever,moderate
Calpol Plus Suspension 60mlCalpol Plus 400/325mg Tablet 10'S,Fever,"used to treat migraine, fever, post-operative pain, dental pain, musculoskeletal and joint disorders",moderate
